,BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
UTV Software,57.54,  new,0.00%,-%,-,10.00,36.43,0.00,1,-,-,-,NA,NA,NA,UTV Software,NA,NA,NA
Udaipur Cement,7.51, 78.20 new,0.00%,-%,0.10,4.00,42.58,"1,027.31",1,133.85,348.00,4.63,39.20,15.00,34.80,Udaipur Cement,NA,NA,NA
Udaipur Phos,28.02,  new,NA,-%,* -,0.00,-,0.00,50,-,-,-,NA,NA,NA,Udaipur Phos,NA,NA,NA
Ultramarine,50.32, 70.78 new,175.00%,1.73%,11.10,2.00,19.71,590.13,1,16.16,18.21,4.02,212.00,133.00,202.10,Ultramarine,NA,NA,NA
Uma Maheshwari,-29.83,  new,0.00%,-%,* -,10.00,14.58,0.00,100,-,-,-,NA,NA,NA,Uma Maheshwari,NA,NA,NA
Umang Dairies,15.26, 72.77 new,20.00%,1.22%,0.77,5.00,55.93,180.32,1,37.25,106.43,5.37,101.00,60.75,81.95,Umang Dairies,100.60,57.40,81.65
Umang India Ltd,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Umang India Ltd,NA,NA,NA
Umedix India,2.88,  new,0.00%,-%,* -,0.00,1.10,0.00,1,-,-,-,NA,NA,NA,Umedix India,NA,NA,NA
Unifrax India,NA,  new,0.00%,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Unifrax India,NA,NA,NA
Uniliv Foods,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Uniliv Foods,NA,NA,NA
Unimode Oversea,0.15,  new,0.00%,-%,0.01,10.00,40.52,0.00,1,-,-,-,NA,NA,NA,Unimode Oversea,NA,NA,NA
Uniphos Ent,21.53, 68.50 new,0.00%,-%,1.62,2.00,51.24,618.61,1,54.57,54.91,4.13,99.40,52.25,88.95,Uniphos Ent,99.50,49.20,89.05
Uniplas,-86.91,  new,0.00%,-%,-,10.00,23.28,0.00,100,-,-,-,NA,NA,NA,Uniplas,NA,NA,NA
Uniroll Leather,-7.56,  new,0.00%,-%,-,10.00,27.40,0.00,100,-,-,-,NA,NA,NA,Uniroll Leather,NA,NA,NA
Uniroyal Marine,5.26,  new,0.00%,-%,0.09,10.00,55.93,5.49,1,9.22,94.22,1.61,17.29,8.10,8.48,Uniroyal Marine,NA,NA,NA
Unitech Inter,12.40, 48.67 new,0.00%,-%,0.43,10.00,51.24,9.02,1,6.71,20.77,0.72,14.07,5.10,8.93,Unitech Inter,NA,NA,NA
United Brewerie,88.38, 38.11 new,115.00%,0.14%,8.67,1.00,94.25,"21,552.99",1,41.74,94.02,9.22,975.50,715.80,815.15,United Brewerie,977.45,717.20,817.20
United Diagnost,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,United Diagnost,NA,NA,NA
United Leasing,20.47,  new,0.00%,-%,2.64,10.00,39.26,3.22,50,2.51,4.06,0.52,10.73,5.14,10.73,United Leasing,NA,NA,NA
United Motors,-22.48,  new,0.00%,-%,150.01,10.00,11.30,2.51,50,0.21,0.21,-,31.50,30.00,31.50,United Motors,NA,NA,NA
United Nilgiri,135.42, 98.79 new,27.00%,0.88%,17.35,10.00,32.72,0.00,1,13.54,-,2.26,NA,NA,NA,United Nilgiri,484.00,276.60,306.45
United Soyaa,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,United Soyaa,NA,NA,NA
Unitedcarb,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Unitedcarb,NA,NA,NA
Unitel Comm,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Unitel Comm,NA,NA,NA
Unity Agrotech,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Unity Agrotech,NA,NA,NA
Universal Arts,7.96,  new,0.00%,-%,* -,10.00,43.78,1.38,1,150.00,-,0.19,2.62,0.81,1.50,Universal Arts,NA,NA,NA
Universal Auto,17.28, 100 new,0.00%,-%,* -,10.00,29.10,50.89,4000,-,-,3.63,80.00,33.00,62.75,Universal Auto,NA,NA,NA
Upcom Cables,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Upcom Cables,NA,NA,NA
Upsurge Invest,14.30, 66.86 new,0.00%,-%,0.34,10.00,39.26,30.30,1,55.56,58.82,1.40,40.00,12.20,20.00,Upsurge Invest,NA,NA,NA
Urja Global,2.41, 55.15 new,0.00%,-%,0.03,1.00,33.58,46.16,1,30.33,30.33,0.38,1.76,0.67,0.91,Urja Global,1.50,0.80,0.90
Usha (India),-13.68,  new,0.00%,-%,-,10.00,16.04,0.00,1,-,-,-,NA,NA,NA,Usha (India),NA,NA,NA
Usha Martin,14.36, 60.83 new,0.00%,-%,-,1.00,40.49,639.96,1,-,-,1.46,23.15,11.50,21.00,Usha Martin,23.15,11.50,21.10
Uttam Sugar,14.21, 40.14 new,0.00%,-%,28.66,10.00,7.85,613.83,1,4.65,5.62,11.33,176.50,40.00,160.95,Uttam Sugar,177.00,39.10,160.45
V2 Retail,106.98, 52.68 new,0.00%,-%,12.05,10.00,44.95,766.26,1,17.43,20.56,2.32,265.30,56.05,247.80,V2 Retail,265.20,58.15,248.25
VB Desai Fin,20.13, 100 new,0.00%,-%,0.23,10.00,39.26,5.07,1,37.30,48.65,0.56,14.05,7.23,11.19,VB Desai Fin,NA,NA,NA
VCK Capital,3.72,  new,0.00%,-%,-,10.00,39.26,0.77,1,-,-,0.23,1.55,0.81,0.85,VCK Capital,NA,NA,NA
VKJ Infra,1.46, 80.08 new,0.00%,-%,* -,1.00,35.29,110.85,1,-,-,4.25,147.10,5.82,6.21,VKJ Infra,NA,NA,NA
VR Woodart,-10.69,  new,0.00%,-%,-,10.00,24.78,0.00,100,-,-,-,NA,NA,NA,VR Woodart,NA,NA,NA
VST,346.08, 61.54 new,750.00%,2.39%,108.28,10.00,34.73,"4,847.60",1,23.75,28.99,9.07,3774.00,1880.00,3139.25,VST,3875.00,1901.60,3118.95
Va Tech Wabag,150.99, 49.03 new,200.00%,0.65%,13.74,2.00,27.65,"3,339.61",1,39.50,44.53,4.05,749.00,449.95,611.90,Va Tech Wabag,749.90,449.95,611.20
Vadilal Dairy,21.19,  new,0.00%,-%,8.49,10.00,52.35,0.00,100,-,-,-,NA,NA,NA,Vadilal Dairy,NA,NA,NA
Vadilal Finance,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Vadilal Finance,NA,NA,NA
Vaibhav Global,153.53, 71.06 new,0.00%,-%,7.26,10.00,18.79,"1,687.06",1,52.72,71.38,3.38,585.80,256.50,518.25,Vaibhav Global,579.90,254.05,523.75
Vaishnavi Gold,10.25,  new,5.00%,-%,0.02,10.00,18.79,0.00,1,-,-,-,NA,NA,NA,Vaishnavi Gold,NA,NA,NA
Valecha Engg,49.49,  new,0.00%,-%,-,10.00,35.29,0.00,1,-,-,-,NA,NA,NA,Valecha Engg,NA,NA,NA
Valiant Organic,79.82, 100 new,80.00%,1.38%,* -,10.00,29.64,211.14,300,-,-,7.27,665.90,264.00,580.00,Valiant Organic,NA,NA,NA
Valplus Biotech,-9.13,  new,0.00%,-%,4.88,10.00,20.83,0.00,100,-,-,-,NA,NA,NA,Valplus Biotech,NA,NA,NA
Value Ind,47.47, 90.87 new,0.00%,-%,-,10.00,47.76,31.00,1,2.95,-,0.17,15.75,6.61,7.91,Value Ind,15.90,6.65,8.00
Vanasthali Text,-39.01,  new,0.00%,-%,* -,10.00,11.62,0.00,1,-,-,-,NA,NA,NA,Vanasthali Text,NA,NA,NA
Vardhman Lab,4.94,  new,0.00%,-%,-,10.00,29.58,0.00,100,-,-,-,NA,NA,NA,Vardhman Lab,NA,NA,NA
Vardhman Text,809.97, 56.47 new,150.00%,1.24%,174.52,10.00,10.59,"6,947.76",1,5.22,6.94,1.49,1439.95,955.00,1210.60,Vardhman Text,1404.00,954.00,1209.85
Varun Ind,15.02,  new,0.00%,-%,-,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,Varun Ind,NA,NA,NA
Velvette Pharma,-9.93,  new,0.00%,-%,0.22,10.00,47.24,0.00,100,-,-,-,NA,NA,NA,Velvette Pharma,NA,NA,NA
Venkataramana,-14.10,  new,0.00%,-%,* -,10.00,38.28,0.00,100,-,-,-,NA,NA,NA,Venkataramana,NA,NA,NA
Venlon Polyeste,4.18, 100 new,0.00%,-%,-,5.00,23.10,17.24,1,-,-,0.79,4.56,2.66,3.30,Venlon Polyeste,NA,NA,NA
Venus Power Ven,15.23,  new,0.00%,-%,1.31,10.00,35.29,0.00,1,-,-,-,NA,NA,NA,Venus Power Ven,NA,NA,NA
Venus Remedies,364.67, 42.39 new,0.00%,-%,3.85,10.00,29.58,112.44,1,2.45,23.66,0.25,142.80,80.00,91.10,Venus Remedies,142.50,80.10,91.35
Veronica Prod,10.29, 100 new,0.00%,-%,-,10.00,17.90,6.49,1,30.33,-,0.09,2.28,0.88,0.91,Veronica Prod,NA,NA,NA
Vertex Spinning,126.63,  new,0.00%,-%,-,10.00,10.82,0.00,1,-,-,-,NA,NA,NA,Vertex Spinning,NA,NA,NA
Vertical Ind,0.28,  new,0.00%,-%,* -,10.00,25.81,0.00,100,-,-,-,NA,NA,NA,Vertical Ind,NA,NA,NA
Viaan Ind,1.21, 15.92 new,0.00%,-%,0.01,1.00,36.51,220.77,1,690.00,"2,070.00",17.11,470.00,14.35,20.70,Viaan Ind,NA,NA,NA
Viceroy Hotels,18.80, 79.19 new,0.00%,-%,-,10.00,59.12,82.48,1,-,-,1.03,28.25,16.30,19.45,Viceroy Hotels,28.40,15.80,19.35
Vidarbha Paper ,2.74,  new,0.00%,-%,-,0.00,-,0.00,50,-,-,-,NA,NA,NA,Vidarbha Paper ,NA,NA,NA
Videocon Narmad,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Videocon Narmad,NA,NA,NA
Vigneshwara,,,,,,,,,,,,,,,,Vigneshwara,,,
Vijay Shanthi,5.98,  new,0.00%,-%,* -,10.00,22.28,0.00,100,-,-,-,NA,NA,NA,Vijay Shanthi,NA,NA,NA
Vijaya Bank,73.29, 36.89 new,15.00%,2.13%,8.44,10.00,20.79,"7,026.88",1,7.59,8.34,0.96,97.40,36.55,70.35,Vijaya Bank,97.40,36.50,70.35
Vijaya Leasing,-58.88,  new,0.00%,-%,* -,10.00,22.58,0.00,50,-,-,-,NA,NA,NA,Vijaya Leasing,NA,NA,NA
Vijayakumar Mil,-190.25,  new,0.00%,-%,-,10.00,2.02,0.00,50,-,-,-,NA,NA,NA,Vijayakumar Mil,NA,NA,NA
Vijayshree Cap,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Vijayshree Cap,NA,NA,NA
Vijayshree Chem,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Vijayshree Chem,NA,NA,NA
Vikalp Sec,11.20,  new,0.00%,-%,0.25,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Vikalp Sec,NA,NA,NA
Vikram Projects,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Vikram Projects,NA,NA,NA
