,BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Lilac Power,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Lilac Power,NA,NA,NA
Lintas Mercanti,9.87,  new,0.00%,-%,* -,10.00,27.32,0.00,1,-,-,-,NA,NA,NA,Lintas Mercanti,NA,NA,NA
Liquid Bees,NA, 67.31 new,NA,-%,-,NA,-,0.00,NA,-,-,-,1003.90,950.90,1000.01,Liquid Bees,1019.44,952.00,1000.00
Lokesh Machines,69.28, 65.54 new,5.00%,0.62%,1.29,10.00,27.65,138.22,1,13.33,62.91,1.17,109.70,61.15,81.15,Lokesh Machines,109.55,61.30,81.45
Lords Chemicals,179.21,  new,5.00%,-%,21.44,10.00,15.36,0.00,1,-,-,-,NA,NA,NA,Lords Chemicals,NA,NA,NA
Lotte India,472.74,  new,0.00%,-%,0.56,10.00,36.80,0.00,1,-,-,-,NA,NA,NA,Lotte India,NA,NA,NA
Lotus Chocolate,-8.30,  new,0.00%,-%,-,10.00,55.93,41.86,1,125.38,-,-,63.50,28.30,32.60,Lotus Chocolate,NA,NA,NA
Lumax Auto Sys,17.45,  new,0.00%,-%,-,10.00,37.22,0.00,1,-,-,-,NA,NA,NA,Lumax Auto Sys,NA,NA,NA
Lumax Auto Tech,104.13, 91.61 new,47.00%,0.93%,3.74,10.00,37.22,685.67,1,37.71,134.49,4.83,584.00,357.85,503.00,Lumax Auto Tech,584.60,357.05,503.40
Lustre Tiles,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Lustre Tiles,NA,NA,NA
Lyka Labs,28.75, 65.36 new,0.00%,-%,0.26,10.00,29.58,127.50,1,26.30,222.50,2.01,76.80,38.65,57.85,Lyka Labs,77.00,40.00,57.95
Lynx Machinery,27.33,  new,0.00%,-%,-,10.00,27.65,2.50,1,-,-,1.52,73.15,39.70,41.65,Lynx Machinery,NA,NA,NA
Lyons Corporate,9.11,  new,0.00%,-%,0.06,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Lyons Corporate,NA,NA,NA
M&M; Financial,113.90, 44.74 new,0.00%,-%,6.34,2.00,39.26,"22,858.66",1,56.21,63.39,3.53,408.05,244.35,401.90,M&M; Financial,407.85,244.00,401.65
M3 Global Fin,-3.07,  new,0.00%,-%,-,10.00,39.26,6.25,1,-,-,-,17.35,4.60,17.35,M3 Global Fin,NA,NA,NA
MBL Infra,158.85, 75.41 new,15.00%,5.52%,-,10.00,35.29,112.55,1,-,-,0.17,136.30,23.30,27.15,MBL Infra,136.45,23.25,27.20
MBM Ltd,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,MBM Ltd,NA,NA,NA
MEP Infra,36.97, 26.13 new,2.00%,0.17%,1.03,10.00,27.66,"1,898.81",1,3.30,113.40,3.16,148.00,34.00,116.80,MEP Infra,150.00,33.30,116.60
MJ Pharma,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,MJ Pharma,NA,NA,NA
MM Rubber,2.02, 100 new,0.00%,-%,0.88,2.00,28.32,8.17,50,15.62,18.64,8.12,34.00,10.40,16.40,MM Rubber,NA,NA,NA
MMS Infra,13.32,  new,0.00%,-%,-,10.00,27.66,0.00,1,-,-,-,NA,NA,NA,MMS Infra,NA,NA,NA
MOSt M50 ETF,NA, 56.63 new,NA,-%,-,NA,-,289.98,NA,-,-,-,96.00,74.50,96.00,MOSt M50 ETF,96.90,74.80,95.70
MOSt NASDAQ 100,NA, 62.73 new,NA,-%,-,NA,-,208.32,NA,-,-,-,452.00,247.00,452.00,MOSt NASDAQ 100,452.61,291.00,446.00
MP Agro,9.07,  new,0.00%,-%,-,10.00,17.49,3.22,100,-,-,0.61,6.09,5.13,5.55,MP Agro,NA,NA,NA
MRO-TEK,3.31, 100 new,0.00%,-%,4.44,5.00,21.56,116.50,1,12.01,14.04,18.84,88.60,40.30,62.35,MRO-TEK,88.40,40.15,61.05
MSL Industries,-18.01,  new,0.00%,-%,-,10.00,36.03,0.00,1,-,-,-,NA,NA,NA,MSL Industries,NA,NA,NA
MSR India,5.21, 100 new,0.00%,-%,0.20,5.00,51.24,169.46,1,37.43,134.75,5.17,99.90,26.50,26.95,MSR India,NA,NA,NA
MT Educare,39.24, 64.75 new,20.00%,2.78%,2.69,10.00,56.05,286.91,1,10.25,26.78,1.84,160.00,58.95,72.05,MT Educare,160.60,59.00,71.90
Maa Leafin,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maa Leafin,NA,NA,NA
Mac Charles,218.63, 100 new,100.00%,2.25%,22.60,10.00,59.12,583.06,1,17.63,19.69,2.04,679.00,399.60,445.05,Mac Charles,NA,NA,NA
Machino Plastic,94.45, 99.01 new,12.00%,0.44%,3.85,10.00,33.56,166.43,1,10.89,70.44,2.87,341.75,119.00,271.20,Machino Plastic,NA,NA,NA
Mack Trading,98.64,  new,5.00%,0.68%,2.14,10.00,51.24,2.51,1,24.16,34.21,0.74,73.20,73.20,73.20,Mack Trading,NA,NA,NA
Madhu Refoils,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Madhu Refoils,NA,NA,NA
Madhucon Proj,106.47, 58.27 new,0.00%,-%,4.05,1.00,35.29,243.15,1,4.42,8.14,0.31,65.40,31.80,32.95,Madhucon Proj,65.40,31.85,32.85
Madras Aluminiu,45.90,  new,100.00%,-%,4.08,2.00,24.32,0.00,1,-,-,-,NA,NA,NA,Madras Aluminiu,NA,NA,NA
Madras Hi-Tech,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Madras Hi-Tech,NA,NA,NA
Maegaware Comp,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maegaware Comp,NA,NA,NA
Mafatlal Ind,269.83, 83.43 new,0.00%,-%,-,10.00,13.25,403.96,1,16.22,-,1.08,374.40,247.15,290.35,Mafatlal Ind,NA,NA,NA
Magan Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Magan Ind,NA,NA,NA
Magico Exp,74.18,  new,0.00%,-%,0.31,10.00,32.95,0.00,1,-,-,-,NA,NA,NA,Magico Exp,NA,NA,NA
Magnetix,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Magnetix,NA,NA,NA
Magnus Rubber,-5.98,  new,0.00%,-%,-,10.00,14.19,0.00,100,-,-,-,NA,NA,NA,Magnus Rubber,NA,NA,NA
Mah Corporation,1.09,  new,0.00%,-%,* -,1.00,39.26,2.57,1,-,-,0.17,0.32,0.19,0.19,Mah Corporation,NA,NA,NA
Mah Explosives,-26.88,  new,0.00%,-%,* -,0.00,0.35,0.00,50,-,-,-,NA,NA,NA,Mah Explosives,NA,NA,NA
Maha ShreeUmaid,40.50,  new,0.00%,-%,0.61,10.00,16.30,0.00,1,-,-,-,NA,NA,NA,Maha ShreeUmaid,NA,NA,NA
Mahadev Corp,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mahadev Corp,NA,NA,NA
Mahalaxmi Rub,55.46, 73.50 new,0.00%,-%,3.31,10.00,28.32,54.39,1,4.80,16.48,0.98,70.70,28.05,54.55,Mahalaxmi Rub,NA,NA,NA
Mahamaya Steel,56.07, 59.36 new,0.00%,-%,2.40,10.00,23.39,98.76,1,10.01,29.67,1.27,505.55,55.00,71.20,Mahamaya Steel,504.20,55.95,71.70
Mahan Ind,3.33,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Mahan Ind,NA,NA,NA
Mahasagar Trav,7.94,  new,0.00%,-%,-,10.00,32.17,0.00,100,-,-,-,NA,NA,NA,Mahasagar Trav,NA,NA,NA
Mahashree Trad,55.86,  new,0.00%,-%,-,10.00,30.76,0.00,100,-,-,-,NA,NA,NA,Mahashree Trad,NA,NA,NA
Mahavir Ind,1.74,  new,0.00%,-%,-,5.00,28.68,12.60,1,-,-,3.62,8.85,3.58,6.30,Mahavir Ind,NA,NA,NA
Mahendra Suitin,-17.41,  new,0.00%,-%,* -,10.00,19.11,0.00,100,-,-,-,NA,NA,NA,Mahendra Suitin,NA,NA,NA
Maheshwari Prot,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maheshwari Prot,NA,NA,NA
Maheswari Mills,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maheswari Mills,NA,NA,NA
Majestic Resear,,,,,,,,,,,,,,,,Majestic Resear,,,
Makan Agro Oils,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Makan Agro Oils,NA,NA,NA
Makers Labs,60.73, 64.55 new,0.00%,-%,7.16,10.00,29.58,44.01,1,9.55,12.50,1.47,144.00,61.10,89.50,Makers Labs,NA,NA,NA
Malabar Trading,21.13,  new,0.00%,-%,0.11,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,Malabar Trading,NA,NA,NA
Manali Petro,18.78, 57.69 new,10.00%,1.38%,2.35,5.00,25.38,624.36,1,12.92,15.45,1.93,49.40,28.10,36.30,Manali Petro,49.40,28.05,36.40
Manas Propertie,11.01, 100 new,0.00%,-%,* -,10.00,35.29,151.84,300,-,-,33.15,365.95,360.00,365.00,Manas Propertie,NA,NA,NA
Mangal Credit,3.85, 99.99 new,0.00%,-%,0.17,1.00,39.26,43.50,1,14.21,15.88,0.70,99.15,1.57,2.70,Mangal Credit,NA,NA,NA
Mangal Finance ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mangal Finance ,NA,NA,NA
Mangalam Cement,197.57, 59.22 new,5.00%,0.14%,13.72,10.00,42.58,988.60,1,12.85,26.99,1.87,407.00,226.60,370.35,Mangalam Cement,407.70,230.00,370.70
Mangalam Drugs,49.40, 60.24 new,0.00%,-%,14.97,10.00,29.58,256.89,1,8.95,10.84,3.29,214.85,122.90,162.30,Mangalam Drugs,214.90,122.60,162.80
Mangalwedhe Sun,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mangalwedhe Sun,NA,NA,NA
Manipal Finance,-32.62,  new,0.00%,-%,1.51,10.00,39.26,0.00,100,-,-,-,NA,NA,NA,Manipal Finance,NA,NA,NA
Maniyar Plast,-62.87,  new,0.00%,-%,* -,10.00,17.82,0.00,100,-,-,-,NA,NA,NA,Maniyar Plast,NA,NA,NA
Manjushree Tech,131.92,  new,10.00%,-%,25.26,10.00,33.56,0.00,1,-,-,-,NA,NA,NA,Manjushree Tech,NA,NA,NA
Manoway Inv Ltd,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Manoway Inv Ltd,NA,NA,NA
Manraj Hsg Fin,14.32,  new,0.00%,-%,-,10.00,28.85,0.00,1,-,-,-,NA,NA,NA,Manraj Hsg Fin,NA,NA,NA
Mardia Copper,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mardia Copper,NA,NA,NA
Mardia Samyoung,12.86, 100 new,0.00%,-%,-,10.00,55.15,2.09,1,21.43,-,0.23,7.42,3.00,3.00,Mardia Samyoung,NA,NA,NA
Mardia Steel,-12.78,  new,0.00%,-%,-,10.00,9.09,0.00,1,-,-,-,NA,NA,NA,Mardia Steel,NA,NA,NA
Marg,54.81, 81.19 new,0.00%,-%,-,10.00,35.29,49.55,1,-,-,0.24,15.39,7.45,13.00,Marg,NA,NA,NA
Marg Techno Pro,9.74,  new,0.00%,-%,0.05,10.00,51.24,6.00,1,90.91,200.00,1.03,10.00,10.00,10.00,Marg Techno Pro,NA,NA,NA
Maris Spin,27.66, 100 new,10.00%,2.95%,2.84,10.00,10.59,27.75,1,3.76,11.95,1.23,37.45,23.50,33.95,Maris Spin,NA,NA,NA
Mark Omega Orga,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mark Omega Orga,NA,NA,NA
Maruti Sec,-65.54,  new,0.00%,-%,-,10.00,39.26,1.59,1,-,-,-,4.27,1.62,3.17,Maruti Sec,NA,NA,NA
Maruti Syntex,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maruti Syntex,NA,NA,NA
Marvel Capital,2.42,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Marvel Capital,NA,NA,NA
Mascon Global,6.88,  new,0.00%,-%,-,10.00,18.72,0.00,0,-,-,-,NA,NA,NA,Mascon Global,NA,NA,NA
Mask Investment,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mask Investment,NA,NA,NA
Master Chemical,19.32,  new,0.00%,-%,-,10.00,45.49,0.00,1,-,-,-,NA,NA,NA,Master Chemical,NA,NA,NA
Master Trust,69.40,  new,0.00%,-%,0.54,10.00,39.26,45.41,1,67.34,77.31,0.60,49.40,22.00,41.75,Master Trust,NA,NA,NA
Mastershare,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mastershare,NA,NA,NA
Mather Pumps,70.97,  new,0.00%,-%,12.94,10.00,12.27,0.00,1,-,-,-,NA,NA,NA,Mather Pumps,NA,NA,NA
Mather and Plat,-1.01,  new,0.00%,-%,-,10.00,39.68,1.25,1,-,-,-,5.17,3.35,3.66,Mather and Plat,NA,NA,NA
Matrix Lab,73.70,  new,0.00%,-%,11.07,2.00,23.62,0.00,1,-,-,-,NA,NA,NA,Matrix Lab,NA,NA,NA
Mavens Biotech,1.75,  new,0.00%,-%,* -,1.00,60.14,0.00,1,-,-,-,NA,NA,NA,Mavens Biotech,NA,NA,NA
Mawana Sugars,19.25, 32.80 new,0.00%,-%,116.72,10.00,7.85,288.68,1,0.59,0.63,3.83,99.00,34.65,73.80,Mawana Sugars,97.00,34.60,73.80
Max Alert Syste,15.73,  new,0.00%,-%,* -,10.00,52.35,0.00,800,-,-,-,NA,NA,NA,Max Alert Syste,NA,NA,NA
Max Financial,68.23, 78.11 new,180.00%,0.60%,5.76,2.00,39.26,"16,169.66",1,103.76,105.02,8.87,683.20,477.40,604.90,Max Financial,683.95,476.70,604.05
Maximaa Systems,2.93, 88.26 new,0.00%,-%,0.05,2.00,51.24,39.00,1,40.58,154.20,2.63,11.68,4.80,7.71,Maximaa Systems,NA,NA,NA
Maya Rasayan,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maya Rasayan,NA,NA,NA
Mayur Floorings,10.49,  new,0.00%,-%,0.04,10.00,18.13,0.00,100,-,-,-,NA,NA,NA,Mayur Floorings,NA,NA,NA
Mayur Leather,27.49, 100 new,10.00%,5.00%,-,10.00,40.52,9.67,1,-,-,0.73,27.50,17.80,20.00,Mayur Leather,NA,NA,NA
Mazda Enterpris,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mazda Enterpris,NA,NA,NA
Mazda Textile,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mazda Textile,NA,NA,NA
Meca Quilts Ltd,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Meca Quilts Ltd,NA,NA,NA
Meenakshi Ent,10.02, 100 new,0.00%,-%,0.13,10.00,39.26,86.37,1,497.50,535.77,6.95,365.00,69.65,69.65,Meenakshi Ent,NA,NA,NA
Mefcom Capital,11.50,  new,0.00%,-%,0.55,10.00,39.26,7.81,1,15.27,15.55,0.74,14.55,8.00,8.55,Mefcom Capital,NA,NA,NA
Mega Nirman and,12.75, 100 new,0.00%,-%,0.13,10.00,35.29,28.79,1,505.88,661.54,6.75,132.05,12.50,86.00,Mega Nirman and,NA,NA,NA
Meglon Infra,3.60,  new,0.00%,-%,-,10.00,35.29,0.00,1,-,-,-,NA,NA,NA,Meglon Infra,NA,NA,NA
Mehar Dairy Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mehar Dairy Ind,NA,NA,NA
Mehta Integrate,28.31, 100 new,0.00%,-%,0.14,10.00,39.26,2.00,1,26.67,28.57,0.14,5.63,2.50,4.00,Mehta Integrate,NA,NA,NA
Mercator,25.52, 62.18 new,10.00%,0.24%,-,1.00,19.70,"1,144.34",1,9.79,-,1.66,55.20,32.90,42.40,Mercator,55.25,32.95,42.65
Mercury Metals,3.90,  new,0.00%,-%,-,1.00,28.68,0.00,1,-,-,-,NA,NA,NA,Mercury Metals,NA,NA,NA
Mercury Phyto,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mercury Phyto,NA,NA,NA
Merry Sharefin ,8.99,  new,0.00%,-%,* -,10.00,14.84,0.00,1,-,-,-,NA,NA,NA,Merry Sharefin ,NA,NA,NA
Metal Box India,-1783.07,  new,0.00%,-%,* -,10.00,11.16,0.00,100,-,-,-,NA,NA,NA,Metal Box India,NA,NA,NA
Metalyst Forgin,38.43, 56.57 new,0.00%,-%,-,10.00,55.13,164.40,1,-,-,0.98,82.05,32.50,37.75,Metalyst Forgin,82.35,32.70,37.35
Metlex Ceramics,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Metlex Ceramics,NA,NA,NA
Metroglobal,167.93, 100 new,0.00%,-%,9.20,10.00,11.71,124.08,1,8.19,8.26,0.45,104.00,62.00,76.00,Metroglobal,NA,NA,NA
Mewar Hi-Tech E,20.94,  new,0.00%,-%,* -,10.00,27.65,7.85,6000,-,-,0.96,39.60,10.85,20.10,Mewar Hi-Tech E,NA,NA,NA
Mewat Zinc,8.71,  new,0.00%,-%,0.05,10.00,12.91,0.00,100,-,-,-,NA,NA,NA,Mewat Zinc,NA,NA,NA
Micro Forge,-26.49,  new,0.00%,-%,-,10.00,35.11,0.00,100,-,-,-,NA,NA,NA,Micro Forge,NA,NA,NA
Micro Inks,274.26,  new,60.00%,-%,45.25,10.00,3.08,0.00,1,-,-,-,NA,NA,NA,Micro Inks,NA,NA,NA
Micron Chemical,4.68,  new,0.00%,-%,* -,10.00,16.74,0.00,100,-,-,-,NA,NA,NA,Micron Chemical,NA,NA,NA
Midas Infra,1.16,  new,0.00%,-%,-,1.00,27.66,0.00,1,-,-,-,NA,NA,NA,Midas Infra,NA,NA,NA
Midland Plastic,-18.39,  new,0.00%,-%,* -,10.00,34.35,0.00,1,-,-,-,NA,NA,NA,Midland Plastic,NA,NA,NA
Midvalley Enter,23.50,  new,0.00%,-%,* -,10.00,35.66,0.00,1,-,-,-,NA,NA,NA,Midvalley Enter,NA,NA,NA
Midwest Gold,-14.90,  new,0.00%,-%,-,10.00,25.81,0.00,1,-,-,-,NA,NA,NA,Midwest Gold,NA,NA,NA
Mig-Weld,2.63,  new,0.00%,-%,-,10.00,11.14,0.00,100,-,-,-,NA,NA,NA,Mig-Weld,NA,NA,NA
Mikado Textiles,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mikado Textiles,NA,NA,NA
Milgrey Finance,-21.33,  new,0.00%,-%,-,10.00,39.26,0.00,50,-,-,-,NA,NA,NA,Milgrey Finance,NA,NA,NA
Millennium Beer,-39.34,  new,0.00%,-%,-,1.00,33.99,0.00,1,-,-,-,NA,NA,NA,Millennium Beer,NA,NA,NA
Millennium Cybe,1.90,  new,0.00%,-%,0.02,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,Millennium Cybe,NA,NA,NA
Minar Intl,,,,,,,,,,,,,,,,Minar Intl,,,
Minaxi Textiles,2.79, 93.49 new,0.00%,-%,0.29,1.00,24.04,9.14,1,2.76,6.38,0.66,2.10,1.38,1.85,Minaxi Textiles,NA,NA,NA
Mindteck,70.21, 56.83 new,10.00%,1.28%,2.14,10.00,18.51,197.99,1,29.00,36.45,1.11,106.00,69.00,78.00,Mindteck,106.80,69.10,77.95
Mindtree,164.04, 36.07 new,100.00%,2.09%,29.48,10.00,18.51,"8,055.61",1,12.81,16.25,2.92,621.40,400.00,479.15,Mindtree,621.00,399.00,479.50
Minhas Steels,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Minhas Steels,NA,NA,NA
Mini Diamonds,17.31,  new,0.00%,-%,0.90,10.00,18.79,0.00,1,-,-,-,NA,NA,NA,Mini Diamonds,NA,NA,NA
Mipco Invest,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mipco Invest,NA,NA,NA
Mirch Tech,-7.56,  new,0.00%,-%,0.41,10.00,27.65,0.00,1,-,-,-,NA,NA,NA,Mirch Tech,NA,NA,NA
Mirza Intl,42.96, 54.83 new,25.00%,0.33%,5.92,2.00,40.52,"1,834.06",1,18.30,25.75,3.55,176.45,69.00,152.45,Mirza Intl,176.60,68.10,152.05
Mitcon Cons,,,,,,,,,,,,,,,,Mitcon Cons,,,
Mithila Steel,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mithila Steel,NA,NA,NA
Mobile Tele,1.81, 100 new,0.00%,-%,-,1.00,21.56,41.42,1,42.43,-,1.64,4.75,2.13,2.97,Mobile Tele,NA,NA,NA
Modern Dairies,-30.59, 97.39 new,0.00%,-%,-,10.00,55.93,31.25,1,-,-,-,24.65,8.21,13.40,Modern Dairies,NA,NA,NA
Modern Malleabl,-0.56,  new,0.00%,-%,-,1.00,17.65,0.00,100,-,-,-,NA,NA,NA,Modern Malleabl,NA,NA,NA
Modern Steels,-6.83,  new,0.00%,-%,-,10.00,12.55,11.71,1,2.45,-,-,8.56,5.06,8.13,Modern Steels,NA,NA,NA
Modern Syntex,-21.33,  new,0.00%,-%,-,10.00,16.62,0.00,50,-,-,-,NA,NA,NA,Modern Syntex,NA,NA,NA
Modi Hoover,3.84,  new,0.00%,-%,0.06,10.00,32.00,0.00,1,-,-,-,NA,NA,NA,Modi Hoover,NA,NA,NA
Modi Rubber,59.55, 100 new,0.00%,-%,2.79,10.00,18.80,271.31,1,32.83,38.84,1.82,118.95,37.00,108.35,Modi Rubber,NA,NA,NA
Modi Threads,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Modi Threads,NA,NA,NA
Modipon,-67.16, 100 new,0.00%,-%,-,10.00,19.09,45.73,1,-,-,-,40.45,10.00,39.50,Modipon,NA,NA,NA
Modison Metals,35.18, 71.73 new,100.00%,1.71%,4.34,1.00,52.97,189.83,1,9.27,13.48,1.66,76.20,40.05,58.50,Modison Metals,NA,NA,NA
Modistone,-24.24,  new,0.00%,-%,* -,10.00,9.60,0.00,50,-,-,-,NA,NA,NA,Modistone,NA,NA,NA
Mohatta and Hec,4.94,  new,0.00%,-%,-,10.00,19.18,0.00,50,-,-,-,NA,NA,NA,Mohatta and Hec,NA,NA,NA
Mohindra Fast,33.41,  new,5.00%,-%,3.05,10.00,5.87,0.00,100,-,-,-,NA,NA,NA,Mohindra Fast,NA,NA,NA
Mohit Ind,20.14, 38.00 new,0.00%,-%,1.09,10.00,24.04,85.65,1,14.94,55.50,3.00,69.85,25.40,60.50,Mohit Ind,66.40,25.35,60.15
Moira QWires,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Moira QWires,NA,NA,NA
Momai Apparels,47.69, 71.43 new,0.00%,-%,* -,10.00,40.41,0.00,1600,-,-,2.83,NA,NA,NA,Momai Apparels,149.90,85.00,134.85
Money Masters,14.64,  new,0.00%,-%,* -,10.00,39.26,2.79,8000,-,-,0.41,6.29,5.70,5.98,Money Masters,NA,NA,NA
Monica Elec,-32.82,  new,0.00%,-%,-,10.00,5.88,0.00,1,-,-,-,NA,NA,NA,Monica Elec,NA,NA,NA
Monotype India ,1.04, 99.53 new,0.00%,-%,0.01,1.00,39.26,"1,501.17",1,"2,135.00","2,135.00",20.53,36.80,8.85,21.35,Monotype India ,NA,NA,NA
Moolchand Expor,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Moolchand Expor,NA,NA,NA
Moonbeam Ind,1.65,  new,0.00%,-%,0.01,10.00,30.96,0.00,100,-,-,-,NA,NA,NA,Moonbeam Ind,NA,NA,NA
Morarjee Text,36.51, 81.96 new,20.00%,2.75%,4.46,7.00,23.65,185.29,1,5.35,11.43,1.40,73.80,41.25,51.00,Morarjee Text,74.00,42.30,51.15
Morarka Finance,20.48,  new,0.00%,-%,0.40,10.00,39.26,10.42,1,56.46,57.87,1.13,23.15,9.50,23.15,Morarka Finance,NA,NA,NA
Morepen Lab,5.16, 60.21 new,0.00%,-%,0.51,2.00,29.58,836.68,1,14.76,36.47,3.60,27.95,18.10,18.60,Morepen Lab,28.00,18.00,18.60
Morganite India,295.90, 100 new,40.00%,0.35%,47.02,10.00,117.22,321.58,1,19.15,24.43,3.88,1320.00,561.00,1148.50,Morganite India,NA,NA,NA
Moschip Semi,-0.51, 74.76 new,0.00%,-%,-,2.00,18.51,593.51,1,-,-,-,68.55,18.70,47.50,Moschip Semi,NA,NA,NA
Mother Mira Fin,5.02,  new,0.00%,-%,* -,10.00,15.73,0.00,100,-,-,-,NA,NA,NA,Mother Mira Fin,NA,NA,NA
Mount Shivalik,-65.39,  new,0.00%,-%,-,10.00,94.25,4.92,1,-,-,-,21.80,8.13,8.13,Mount Shivalik,NA,NA,NA
Mudunuru,3.51, 67.58 new,0.00%,-%,0.04,2.00,18.51,37.09,1,39.74,387.50,4.42,47.00,14.30,15.50,Mudunuru,NA,NA,NA
Mukta Agri,26.81,  new,0.00%,-%,-,10.00,51.24,127.16,1,-,-,2.19,145.50,57.50,58.65,Mukta Agri,NA,NA,NA
Multi-Arc India,30.08,  new,0.00%,-%,* -,10.00,22.14,0.00,1,-,-,-,NA,NA,NA,Multi-Arc India,NA,NA,NA
Multilac Surfac,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Multilac Surfac,NA,NA,NA
Multiplus Hold,66.60,  new,2.00%,-%,-,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Multiplus Hold,NA,NA,NA
Munjal Auto Ind,25.04, 64.16 new,0.00%,-%,3.18,2.00,37.22,642.00,1,13.05,20.19,2.56,153.00,63.90,64.20,Munjal Auto Ind,76.35,40.63,64.30
Munjal Showa,127.38, 77.19 new,200.00%,1.79%,14.14,2.00,22.25,895.89,1,10.46,15.84,1.76,255.90,158.00,224.00,Munjal Showa,258.70,172.60,224.40
Munoth Capital,8.95,  new,0.00%,-%,0.21,5.00,39.26,59.79,1,316.67,316.67,7.43,80.15,66.50,66.50,Munoth Capital,NA,NA,NA
Munoth Comm,6.69,  new,0.00%,-%,-,10.00,21.56,1.93,1,-,-,0.30,2.22,1.29,2.00,Munoth Comm,NA,NA,NA
Musk Exports,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Musk Exports,NA,NA,NA
Muthoot Finance,170.19, 8.99 new,60.00%,1.29%,29.53,10.00,39.26,"18,646.36",1,15.18,15.80,2.74,483.00,261.05,466.70,Muthoot Finance,483.40,262.00,467.50
Mysore Petro,49.25, 97.74 new,10.00%,0.98%,77.86,10.00,14.21,67.45,1,1.24,1.32,2.08,116.80,55.00,102.45,Mysore Petro,NA,NA,NA
NALCO,68.57, 46.75 new,40.00%,2.87%,3.46,5.00,27.79,"13,453.19",1,11.72,20.12,1.02,79.85,42.95,69.60,NALCO,79.95,42.65,69.60
NB Footwear,-0.75,  new,0.00%,-%,-,10.00,40.52,0.00,100,-,-,-,NA,NA,NA,NB Footwear,NA,NA,NA
