,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Sequel e-Router,,9.11,  new,0.00%,-%,0.12,10.00,18.51,1.49,1,222.50,222.50,2.93,32.40,14.65,26.70,Sequel e-Router,NA,NA,NA
Sequent Scienti,,38.77, 22.76 new,0.00%,-%,* -,2.00,29.58,"2,982.11",1,118.79,-,3.16,150.55,102.00,122.35,Sequent Scienti,152.20,104.20,122.50
Seya Industries,,69.04, 93.45 new,10.00%,0.16%,20.67,10.00,36.03,"1,241.35",1,22.19,29.51,8.84,666.00,157.50,610.00,Seya Industries,NA,NA,NA
Shaan Interwell,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shaan Interwell,NA,NA,NA
Shah Construct,,-2959.99,  new,0.00%,-%,-,100.00,23.93,0.00,5,-,-,-,NA,NA,NA,Shah Construct,NA,NA,NA
Shailja Comm.,,9.97, 100 new,0.00%,-%,0.08,10.00,51.24,4.24,1,163.13,163.13,1.31,14.69,11.40,13.05,Shailja Comm.,NA,NA,NA
Shalimar Paints,,31.39, 100 new,0.00%,-%,-,2.00,55.80,416.81,1,-,-,7.01,320.30,118.45,220.00,Shalimar Paints,320.60,119.65,220.05
Shalin Hotels,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shalin Hotels,NA,NA,NA
Shamrock Ind,,1.80,  new,0.00%,-%,-,10.00,26.63,0.00,1,-,-,-,NA,NA,NA,Shamrock Ind,NA,NA,NA
Sharat Ind,,21.46,  new,0.00%,-%,0.83,10.00,1.01,0.00,100,-,-,-,NA,NA,NA,Sharat Ind,NA,NA,NA
Sharp Invest,,1.18, 100 new,0.00%,-%,* -,1.00,39.26,53.26,1,-,-,1.86,11.27,2.20,2.20,Sharp Invest,NA,NA,NA
Sharpscan Print,,7.10,  new,0.00%,-%,-,10.00,17.54,0.00,1,-,-,-,NA,NA,NA,Sharpscan Print,NA,NA,NA
Shashijit Infra,,19.16, 100 new,35.00%,16.67%,* -,10.00,35.29,18.10,1,-,-,1.10,22.00,14.30,21.00,Shashijit Infra,NA,NA,NA
Shaw Wall Elect,,-20.23,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Shaw Wall Elect,NA,NA,NA
Sheetal Diamond,,7.00,  new,0.00%,-%,-,10.00,18.79,1.99,1,-,-,0.57,5.25,2.85,3.98,Sheetal Diamond,NA,NA,NA
Shekhawati Poly,,-1.28, 57.60 new,0.00%,-%,-,1.00,24.04,9.31,1,-,-,-,2.19,0.23,0.27,Shekhawati Poly,2.20,0.20,0.30
Sheraton Pro,,27.64,  new,0.00%,-%,0.67,10.00,39.26,1.32,100,16.39,16.39,0.40,10.98,10.51,10.98,Sheraton Pro,NA,NA,NA
Shikhar Consult,,6.25,  new,0.00%,-%,* -,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Shikhar Consult,NA,NA,NA
Shilchar Techno,,130.04, 86.31 new,25.00%,0.56%,32.19,10.00,17.85,171.41,1,12.57,13.96,3.46,524.90,258.00,449.50,Shilchar Techno,NA,NA,NA
Shiva Paper,,-16.52,  new,0.00%,-%,-,10.00,17.14,0.00,1,-,-,-,NA,NA,NA,Shiva Paper,NA,NA,NA
Shiva Texyarn,,82.88, 86.20 new,11.00%,0.31%,9.33,10.00,10.59,775.71,1,20.49,38.48,4.33,410.00,130.00,359.05,Shiva Texyarn,408.90,129.00,362.75
Shivaji Works,,-183.63,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Shivaji Works,NA,NA,NA
Shoppers Stop,,91.10, 57.45 new,0.00%,-%,-,5.00,85.51,"2,920.16",1,27.69,-,3.84,406.00,265.00,349.70,Shoppers Stop,406.40,268.00,348.70
Shradha Terry,,21.16,  new,0.00%,-%,7.01,10.00,4.81,0.00,100,-,-,-,NA,NA,NA,Shradha Terry,NA,NA,NA
Shree Hanuman,,44.73,  new,0.00%,-%,-,10.00,7.85,0.00,1,-,-,-,NA,NA,NA,Shree Hanuman,NA,NA,NA
Shree Mahavir,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shree Mahavir,NA,NA,NA
Shree Nidhi Tra,,13.59,  new,0.00%,-%,0.01,10.00,51.24,15.94,1,"2,045.00","2,045.00",1.50,31.35,10.00,20.45,Shree Nidhi Tra,NA,NA,NA
Shree Pomani,,-6.11,  new,0.00%,-%,* -,10.00,4.79,0.00,100,-,-,-,NA,NA,NA,Shree Pomani,NA,NA,NA
Shree Precoated,,0.08,  new,0.00%,-%,-,10.00,15.09,5.46,1,-,-,8.25,3.25,0.64,0.66,Shree Precoated,NA,NA,NA
Shree Rajasthan,,24.78, 99.75 new,0.00%,-%,-,10.00,10.82,21.01,1,4.64,-,0.65,18.50,9.85,16.10,Shree Rajasthan,NA,NA,NA
Shree Rajesh Pa,,21.23, 100 new,0.00%,-%,1.55,10.00,11.71,13.06,1,1.51,6.77,0.49,12.70,5.26,10.49,Shree Rajesh Pa,NA,NA,NA
Shree Rama News,,2.56, 82.38 new,0.00%,-%,-,10.00,11.71,341.51,1,24.89,-,9.04,41.75,22.25,23.15,Shree Rama News,41.00,21.40,23.00
Shree Salasar,,30.50,  new,0.00%,-%,0.43,10.00,26.39,0.00,50,-,-,-,NA,NA,NA,Shree Salasar,NA,NA,NA
Shree Shaleen,,2.22,  new,0.00%,-%,-,2.00,39.26,0.00,1,-,-,-,NA,NA,NA,Shree Shaleen,NA,NA,NA
Shree Vallabh,,11.40,  new,0.00%,-%,* -,10.00,2.06,2.87,50,-,-,0.44,5.00,5.00,5.00,Shree Vallabh,NA,NA,NA
Shree Vindhya,,-84.79,  new,0.00%,-%,-,10.00,17.14,0.00,1,-,-,-,NA,NA,NA,Shree Vindhya,NA,NA,NA
ShreeGanesh Bio,,46.47,  new,0.00%,-%,33.78,10.00,60.14,1.83,1,0.30,0.30,0.22,10.00,10.00,10.00,ShreeGanesh Bio,NA,NA,NA
Shreekrishna Bi,,10.38,  new,0.00%,-%,-,10.00,19.70,0.00,1,-,-,-,NA,NA,NA,Shreekrishna Bi,NA,NA,NA
Shreevat Fin,,19.09,  new,0.00%,-%,0.53,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Shreevat Fin,NA,NA,NA
Shrenuj and Co,,28.45, 100 new,0.00%,-%,-,2.00,18.79,15.05,1,-,-,0.03,3.83,0.72,0.78,Shrenuj and Co,3.80,0.70,0.80
Shreyas Interme,,-45.29, 100 new,0.00%,-%,-,10.00,19.71,9.29,1,4.40,-,-,9.65,2.97,5.77,Shreyas Interme,NA,NA,NA
Shri Hariganga ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shri Hariganga ,NA,NA,NA
Shri Ishar Agro,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shri Ishar Agro,NA,NA,NA
Shri M M Soft,,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Shri M M Soft,NA,NA,NA
Shri Niwas Lea,,10.39,  new,0.00%,-%,0.26,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Shri Niwas Lea,NA,NA,NA
Shriram City,,762.51, 98.07 new,50.00%,0.22%,84.32,10.00,39.26,"15,150.89",1,25.65,27.25,3.01,2650.00,1648.35,2297.50,Shriram City,2616.40,1644.65,2298.10
Shriram Oversea,,19.45,  new,0.00%,-%,7.46,10.00,22.28,0.00,1,-,-,-,NA,NA,NA,Shriram Oversea,NA,NA,NA
Sibar Auto,,3.37, 100 new,0.00%,-%,0.05,10.00,37.00,12.01,1,23.33,252.00,3.74,23.90,9.40,12.60,Sibar Auto,NA,NA,NA
Sical Logistics,,91.66, 87.15 new,0.00%,-%,8.19,10.00,49.59,"1,453.43",1,19.98,31.92,2.85,285.00,142.00,261.40,Sical Logistics,286.00,132.80,259.75
Siemens,,184.82, 43.39 new,1675.00%,2.31%,82.65,2.00,20.44,"51,703.32",1,16.31,17.57,7.86,1470.00,1011.00,1451.85,Siemens,1471.35,1012.00,1455.15
Siemens Health,,352.91,  new,175.00%,-%,52.61,10.00,17.16,0.00,1,-,-,-,NA,NA,NA,Siemens Health,NA,NA,NA
Sigma Cements,,-5.12,  new,0.00%,-%,-,10.00,7.65,0.00,100,-,-,-,NA,NA,NA,Sigma Cements,NA,NA,NA
Signet Ind,,4.23, 34.75 new,5.00%,0.42%,0.66,1.00,25.38,353.24,1,13.64,18.18,2.84,44.70,7.88,12.00,Signet Ind,44.70,7.95,12.05
Sigrun Holdings,,1.31,  new,0.00%,-%,* -,1.00,39.26,0.00,1,-,-,-,NA,NA,NA,Sigrun Holdings,NA,NA,NA
Sikozy Realtors,,0.83,  new,0.00%,-%,-,1.00,35.29,1.92,1,-,-,0.52,0.75,0.43,0.43,Sikozy Realtors,NA,NA,NA
Silcal Metal,,23.43,  new,0.00%,-%,* -,10.00,16.94,0.00,1,-,-,-,NA,NA,NA,Silcal Metal,NA,NA,NA
Silverpoint,,21.18,  new,0.00%,-%,0.02,10.00,35.29,15.99,1,269.33,404.00,0.38,11.97,3.25,8.08,Silverpoint,NA,NA,NA
Silverton Spinn,,-23.36,  new,0.00%,-%,-,10.00,10.59,0.00,1,-,-,-,NA,NA,NA,Silverton Spinn,NA,NA,NA
Simbhaoli Sugar,,79.19, 61.13 new,0.00%,-%,-,10.00,7.85,119.56,1,13.24,-,0.40,43.20,25.35,31.90,Simbhaoli Sugar,43.45,25.15,32.10
Simplex Casting,,138.18, 80.00 new,5.00%,0.43%,3.14,10.00,29.10,69.72,1,7.64,37.10,0.84,154.90,79.00,116.50,Simplex Casting,NA,NA,NA
Simplex Mills,,-13.68,  new,0.00%,-%,-,10.00,23.65,3.60,1,-,-,-,25.35,12.00,12.00,Simplex Mills,NA,NA,NA
Sinclairs Hotel,,145.12, 93.47 new,40.00%,1.29%,16.18,10.00,59.12,173.17,1,10.20,19.22,2.14,454.00,275.00,310.90,Sinclairs Hotel,NA,NA,NA
Sinner Energy,,1.68, 100 new,0.00%,-%,0.08,1.00,14.55,18.13,1,111.63,111.63,5.32,61.00,5.30,8.93,Sinner Energy,NA,NA,NA
Sirhind Enter,,3.98,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Sirhind Enter,NA,NA,NA
Sirpur Paper,,-16.72,  new,0.00%,-%,-,10.00,11.71,0.00,1,-,-,-,NA,NA,NA,Sirpur Paper,NA,NA,NA
Sitapur Plywood,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sitapur Plywood,NA,NA,NA
Smart Finsec ,,16.45,  new,0.00%,-%,3.70,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Smart Finsec ,NA,NA,NA
SmithKline Phar,,NA,  new,40.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,SmithKline Phar,NA,NA,NA
Smiths & Found,,0.30,  new,0.00%,-%,-,1.00,55.13,10.71,1,-,-,3.50,21.33,0.95,1.05,Smiths & Found,NA,NA,NA
Smruthi Organic,,80.44,  new,0.00%,-%,4.70,10.00,29.58,0.00,1,-,-,-,NA,NA,NA,Smruthi Organic,NA,NA,NA
Softrak Biotech,,0.07,  new,0.00%,-%,* -,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Softrak Biotech,NA,NA,NA
Solectron EMS,,61.36,  new,10.00%,-%,-,10.00,13.39,0.00,1,-,-,-,NA,NA,NA,Solectron EMS,NA,NA,NA
Solis Marketing,,1.03, 100 new,0.00%,-%,0.01,1.00,51.24,1.51,1,49.00,49.00,0.48,16.20,0.47,0.49,Solis Marketing,NA,NA,NA
Solitaire Mach,,25.59, 83.36 new,12.50%,2.36%,3.06,10.00,27.65,24.05,1,11.17,17.30,2.07,58.30,25.35,52.95,Solitaire Mach,NA,NA,NA
Solvay Pharma,,328.59,  new,255.00%,-%,100.54,10.00,10.31,0.00,1,-,-,-,NA,NA,NA,Solvay Pharma,NA,NA,NA
Som Datt Fin,,14.32,  new,0.00%,-%,0.38,10.00,39.26,4.41,1,11.31,11.61,0.31,7.20,2.99,4.41,Som Datt Fin,NA,NA,NA
Som Phytopharma,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Som Phytopharma,NA,NA,NA
Sona Koyo Stee,,15.03, 55.20 new,50.00%,0.45%,1.19,1.00,45.28,"2,193.12",1,22.29,92.73,7.34,131.40,47.55,110.35,Sona Koyo Stee,131.90,47.55,110.45
Sonal Adhesives,,5.85, 100 new,0.00%,-%,-,10.00,14.87,5.58,1,-,-,1.57,13.10,7.50,9.21,Sonal Adhesives,NA,NA,NA
Sonell Clocks,,3.65,  new,0.00%,-%,-,10.00,23.74,0.00,100,-,-,-,NA,NA,NA,Sonell Clocks,NA,NA,NA
Source Ind,,4.56, 100 new,0.00%,-%,0.02,10.00,10.82,1.72,1,75.50,75.50,0.33,1.99,1.24,1.51,Source Ind,NA,NA,NA
Source Natural,,10.82, 100 new,0.00%,-%,2.18,10.00,29.58,84.36,1,48.00,60.11,12.11,131.05,36.20,131.05,Source Natural,NA,NA,NA
South India Pro,,21.62, 100 new,0.00%,-%,0.90,10.00,39.26,112.45,1,242.83,248.22,10.33,224.20,98.10,223.40,South India Pro,NA,NA,NA
South Pole Sec,,8.28,  new,0.00%,-%,* -,10.00,27.21,0.00,100,-,-,-,NA,NA,NA,South Pole Sec,NA,NA,NA
Southern Green ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Southern Green ,NA,NA,NA
Sov Gold Tr-III,,NA, 100 new,NA,-%,-,NA,-,0.00,NA,-,-,-,3198.00,2700.00,2715.30,Sov Gold Tr-III,3179.00,2681.00,2758.00
Space Computer,,,,,,,,,,,,,,,,,Space Computer,,,
Span Dyestuff,,4.68,  new,0.00%,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Span Dyestuff,NA,NA,NA
Sparc Systems,,6.71,  new,0.00%,-%,-,10.00,22.89,0.00,1,-,-,-,NA,NA,NA,Sparc Systems,NA,NA,NA
Spearhead Metal,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Spearhead Metal,NA,NA,NA
Speciality Petr,,10.88,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Speciality Petr,NA,NA,NA
Sphere Global,,10.80, 44.42 new,0.00%,-%,0.75,10.00,18.51,92.24,1,67.17,68.07,4.73,84.50,49.25,51.05,Sphere Global,85.00,49.30,51.55
SpiceJet,,-13.01, 27.46 new,0.00%,-%,7.19,10.00,24.21,"7,073.51",1,11.24,16.41,-,136.30,54.50,118.00,SpiceJet,NA,NA,NA
Spicy Entertain,,10.16,  new,0.00%,-%,* -,10.00,43.78,15.19,10000,-,-,0.91,10.05,6.80,9.20,Spicy Entertain,NA,NA,NA
Sree Chem Resin,,15.75,  new,0.00%,-%,-,10.00,40.54,0.00,100,-,-,-,NA,NA,NA,Sree Chem Resin,NA,NA,NA
Sree Jaya Auto,,-2.69, 100 new,0.00%,-%,-,10.00,10.59,0.77,1,-,-,-,2.08,1.71,1.71,Sree Jaya Auto,NA,NA,NA
Sree Rayalse,,10.10,  new,0.00%,-%,0.02,0.00,-,0.00,100,-,-,-,NA,NA,NA,Sree Rayalse,NA,NA,NA
Srestha Finvest,,2.05,  new,0.00%,-%,0.01,2.00,39.26,0.00,1,-,-,-,NA,NA,NA,Srestha Finvest,NA,NA,NA
Sri Arumuga Ent,,126.65,  new,10.00%,-%,2.05,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Sri Arumuga Ent,NA,NA,NA
Sri Chakra Rem,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sri Chakra Rem,NA,NA,NA
Sri Sarita Synt,,-21.16,  new,0.00%,-%,-,10.00,14.20,0.00,1,-,-,-,NA,NA,NA,Sri Sarita Synt,NA,NA,NA
Srinivasa Hatch,,98.19,  new,15.00%,-%,0.49,10.00,17.64,0.00,1,-,-,-,NA,NA,NA,Srinivasa Hatch,NA,NA,NA
Sslfinance,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sslfinance,NA,NA,NA
Sstella Silks,,8.80,  new,0.00%,-%,0.66,10.00,17.58,0.00,1,-,-,-,NA,NA,NA,Sstella Silks,NA,NA,NA
Standard Capita,,9.68,  new,0.00%,-%,0.11,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Standard Capita,NA,NA,NA
Standard Chrome,,-10.40,  new,0.00%,-%,* -,10.00,0.73,0.00,100,-,-,-,NA,NA,NA,Standard Chrome,NA,NA,NA
Stanford Engine,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Stanford Engine,NA,NA,NA
Star Paper,,79.13, 61.62 new,0.00%,-%,38.40,10.00,11.71,315.83,1,4.93,5.27,2.56,226.80,55.10,202.35,Star Paper,226.50,55.15,202.55
Star TV,,,,,,,,,,,,,,,,,Star TV,,,
State Bk Mysore,,972.86,  new,60.00%,-%,-,10.00,20.79,0.00,1,-,-,-,NA,NA,NA,State Bk Mysore,NA,NA,NA
Steel Str Infra,,13.51, 100 new,0.00%,-%,-,10.00,35.29,12.45,1,-,-,1.07,21.00,10.34,14.40,Steel Str Infra,NA,NA,NA
Sterling H Res,,27.25,  new,0.00%,-%,0.12,10.00,59.12,0.00,1,-,-,-,NA,NA,NA,Sterling H Res,NA,NA,NA
Sterling Intl,,35.58, 81.40 new,0.00%,-%,0.01,1.00,18.51,48.31,1,59.33,178.00,0.05,2.69,1.36,1.78,Sterling Intl,NA,NA,NA
Sterling Webnet,,0.91,  new,0.00%,-%,* -,1.00,18.51,0.00,1,-,-,-,NA,NA,NA,Sterling Webnet,NA,NA,NA
Stono Machines,,8.81,  new,0.00%,-%,0.47,10.00,21.47,0.00,100,-,-,-,NA,NA,NA,Stono Machines,NA,NA,NA
Stylam Ind,,92.32, 98.36 new,0.00%,-%,22.47,10.00,44.52,637.82,1,26.73,34.76,8.46,854.90,380.00,781.05,Stylam Ind,NA,NA,NA
Suashish Diamon,,415.49,  new,0.00%,-%,33.33,10.00,16.94,0.00,1,-,-,-,NA,NA,NA,Suashish Diamon,NA,NA,NA
Subex,,12.32, 60.91 new,0.00%,-%,-,10.00,18.51,535.59,1,-,-,0.77,13.59,8.25,9.53,Subex,13.60,8.20,9.50
Subway Finance ,,14.98,  new,0.00%,-%,0.70,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Subway Finance ,NA,NA,NA
Suchak Trading ,,10.26,  new,0.00%,-%,0.01,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Suchak Trading ,NA,NA,NA
Suchitra Fin,,80.87,  new,0.00%,-%,4.68,10.00,39.26,21.91,1,5.01,5.02,0.29,24.50,18.50,23.50,Suchitra Fin,NA,NA,NA
Sudarshan Chem,,57.13, 30.39 new,175.00%,0.84%,12.92,2.00,19.71,"2,873.62",1,20.63,32.13,7.27,458.85,261.10,415.10,Sudarshan Chem,458.80,261.15,415.80
Sugam Agro-Tech,,2.53,  new,0.00%,-%,* -,10.00,52.36,0.00,100,-,-,-,NA,NA,NA,Sugam Agro-Tech,NA,NA,NA
Sujala Trading,,27.50,  new,0.00%,-%,0.28,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Sujala Trading,NA,NA,NA
Sujana Uni,,24.88, 87.73 new,0.00%,-%,-,10.00,47.76,21.78,1,-,-,0.05,2.30,0.95,1.29,Sujana Uni,2.30,0.95,1.25
Sukhchain Cem,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sukhchain Cem,NA,NA,NA
Sulabh Engineer,,2.25, 100 new,0.00%,-%,0.04,1.00,39.26,682.73,1,"1,698.75","1,698.75",30.20,90.00,67.95,67.95,Sulabh Engineer,NA,NA,NA
Sun Star Chemic,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sun Star Chemic,NA,NA,NA
Sundaram Multi,,2.64, 67.68 new,0.00%,-%,-,1.00,18.03,87.68,1,-,-,1.35,5.94,2.60,3.57,Sundaram Multi,5.95,2.65,3.60
Sunday Exports,,12.24,  new,0.00%,-%,-,10.00,16.13,0.00,1,-,-,-,NA,NA,NA,Sunday Exports,NA,NA,NA
Sunflow Metals,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sunflow Metals,NA,NA,NA
Sungold Capital,,11.91,  new,0.00%,-%,0.02,10.00,39.26,2.71,1,49.00,73.50,0.12,2.20,0.98,1.47,Sungold Capital,NA,NA,NA
Sunil Agro Food,,40.65, 65.46 new,0.00%,-%,2.15,10.00,55.93,23.12,1,11.94,35.81,1.89,83.00,27.90,77.00,Sunil Agro Food,NA,NA,NA
Sunil HitechEng,,10.99, 62.19 new,15.00%,1.14%,1.06,1.00,33.58,498.21,1,6.83,12.43,1.20,468.65,10.20,13.18,Sunil HitechEng,23.45,8.27,13.20
Sunil Ind,,78.51,  new,0.00%,-%,3.67,10.00,24.04,12.18,100,4.06,7.90,0.37,54.10,27.55,29.00,Sunil Ind,NA,NA,NA
Suniti Commerci,,125.15,  new,0.00%,-%,-,10.00,17.82,0.00,100,-,-,-,NA,NA,NA,Suniti Commerci,NA,NA,NA
Sunrise Asian,,17.12,  new,0.00%,-%,-,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,Sunrise Asian,NA,NA,NA
Sunrise Zinc,,-15.23,  new,0.00%,-%,1.35,10.00,12.99,0.00,100,-,-,-,NA,NA,NA,Sunrise Zinc,NA,NA,NA
Sunshield Chem,,15.45, 94.30 new,0.00%,-%,-,10.00,46.30,225.41,1,419.93,-,19.84,488.00,245.00,306.55,Sunshield Chem,NA,NA,NA
Sunstar Realty,,1.90, 50.00 new,0.00%,-%,* -,1.00,35.29,"1,157.53",3000,-,-,25.79,63.00,22.10,49.00,Sunstar Realty,NA,NA,NA
Super Bakers,,9.25,  new,0.00%,-%,0.54,10.00,55.93,0.00,1,-,-,-,NA,NA,NA,Super Bakers,NA,NA,NA
Super Domestic,,-0.35,  new,0.00%,-%,-,10.00,47.76,0.70,1,-,-,-,5.38,1.39,1.62,Super Domestic,NA,NA,NA
Super Forgings,,-33.34,  new,0.00%,-%,-,10.00,8.24,0.00,1,-,-,-,NA,NA,NA,Super Forgings,NA,NA,NA
Super Spinning,,8.12, 74.82 new,0.00%,-%,-,1.00,10.59,103.40,1,-,-,2.32,22.10,8.60,18.80,Super Spinning,22.15,8.05,18.80
Super Tannery,,7.73, 100 new,0.00%,-%,0.30,1.00,40.52,53.77,1,5.08,16.60,0.64,6.30,3.90,4.98,Super Tannery,NA,NA,NA
Superhouse,,213.78, 55.73 new,15.00%,0.97%,11.39,10.00,40.52,175.86,1,6.42,13.52,0.72,184.50,125.00,154.00,Superhouse,179.80,125.05,154.75
Superstar Dist,,1.81,  new,0.00%,-%,0.31,10.00,34.92,0.00,100,-,-,-,NA,NA,NA,Superstar Dist,NA,NA,NA
Supplementary,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Supplementary,NA,NA,NA
Supra Trends,,0.27,  new,0.00%,-%,-,10.00,39.26,1.10,1,-,-,81.11,25.10,6.11,21.90,Supra Trends,NA,NA,NA
Supreme Conduct,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Supreme Conduct,NA,NA,NA
Supremex,,1.01,  new,0.00%,-%,-,1.00,15.09,82.00,1,-,-,25.74,26.10,11.20,26.00,Supremex,NA,NA,NA
Supriya Pharma,,9.26,  new,0.00%,-%,-,10.00,31.17,0.00,1,-,-,-,NA,NA,NA,Supriya Pharma,NA,NA,NA
Suraj,,44.68,  new,0.00%,-%,0.39,10.00,20.73,72.53,1,10.29,96.54,0.84,54.45,33.50,37.65,Suraj,NA,NA,NA
Surana Corp,,-344.29, 100 new,0.00%,-%,-,10.00,51.24,3.63,1,-,-,-,1.82,1.08,1.49,Surana Corp,1.90,1.15,1.40
Surana Solar,,10.50, 81.45 new,0.00%,-%,0.34,5.00,52.97,84.64,1,19.11,50.59,1.64,30.45,16.60,17.20,Surana Solar,30.70,16.55,17.05
Surlux Mediquip,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Surlux Mediquip,NA,NA,NA
Surya Medicare,,,,,,,,,,,,,,,,,Surya Medicare,,,
Suryodaya Invt,,78.75,  new,0.00%,-%,-,10.00,39.26,0.68,50,-,-,0.07,5.14,0.00,5.14,Suryodaya Invt,NA,NA,NA
Suryodaya Plast,,0.97,  new,0.00%,-%,-,10.00,35.22,0.00,1,-,-,-,NA,NA,NA,Suryodaya Plast,NA,NA,NA
Sushil Packagin,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sushil Packagin,NA,NA,NA
Swadeshi Polyte,,-132.79,  new,0.00%,-%,2.90,10.00,10.82,4.19,1,3.67,3.71,-,22.90,10.75,10.75,Swadeshi Polyte,NA,NA,NA
Swagruha Infra,,0.11, 100 new,0.00%,-%,0.01,1.00,35.29,34.27,1,500.00,500.00,45.45,5.24,3.63,5.00,Swagruha Infra,NA,NA,NA
Swagtam Trading,,35.06,  new,0.00%,-%,0.17,10.00,35.29,1.19,1,29.41,58.82,0.29,10.00,10.00,10.00,Swagtam Trading,NA,NA,NA
Swasti Vinayaka,,1.32, 69.00 new,8.00%,2.05%,0.32,1.00,10.82,27.30,1,10.00,12.19,2.95,4.70,2.00,3.90,Swasti Vinayaka,NA,NA,NA
Swastik Rubber,,-5.26,  new,0.00%,-%,* -,10.00,14.19,0.00,50,-,-,-,NA,NA,NA,Swastik Rubber,NA,NA,NA
Swelect Energy,,648.15, 69.35 new,40.00%,0.71%,29.07,10.00,52.97,565.93,1,13.97,19.26,0.86,633.00,295.00,560.00,Swelect Energy,658.80,275.50,558.30
Sword and Shiel,,0.68, 100 new,0.00%,-%,-,10.00,29.58,5.80,1,-,-,16.57,11.96,3.30,11.27,Sword and Shiel,NA,NA,NA
Symbiox Invest,,9.82, 100 new,0.00%,-%,0.03,10.00,39.26,15.11,1,120.75,161.00,0.49,26.20,4.47,4.83,Symbiox Invest,NA,NA,NA
Syncom Formula,,1.53, 68.79 new,2.00%,1.18%,0.13,1.00,29.58,132.71,1,10.00,13.08,1.11,3.27,1.46,1.70,Syncom Formula,NA,NA,NA
Synergy Cos,,9.02,  new,0.00%,-%,-,10.00,57.34,0.00,1,-,-,-,NA,NA,NA,Synergy Cos,NA,NA,NA
Synergy Fin,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Synergy Fin,NA,NA,NA
Syngenta,,254.00,  new,100.00%,-%,23.41,5.00,17.07,0.00,1,-,-,-,NA,NA,NA,Syngenta,NA,NA,NA
Systematix Sec,,15.68,  new,0.00%,-%,0.19,10.00,27.21,0.00,100,-,-,-,NA,NA,NA,Systematix Sec,NA,NA,NA
TATACOFNCD,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,TATACOFNCD,NA,NA,NA
TCM,,-77.69,  new,0.00%,-%,-,10.00,46.58,0.00,1,-,-,-,NA,NA,NA,TCM,NA,NA,NA
TCP,,653.85,  new,10.00%,-%,74.08,10.00,37.92,0.00,1,-,-,-,NA,NA,NA,TCP,NA,NA,NA
