,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Simmonds-Marsha,,47.58, 82.66 new,25.00%,0.61%,5.25,2.00,24.78,92.23,1,9.07,15.69,1.73,109.70,64.20,82.35,Simmonds-Marsha,NA,NA,NA
Simplex Trading,,11.32,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Simplex Trading,NA,NA,NA
Simran Farms,,45.21, 100 new,0.00%,-%,2.50,10.00,24.09,34.49,1,11.71,36.38,2.01,98.45,26.05,90.95,Simran Farms,NA,NA,NA
Sintex Ind,,95.29, 19.84 new,70.00%,1.93%,6.64,1.00,23.65,"2,008.89",1,4.01,5.45,0.38,121.30,17.75,36.20,Sintex Ind,121.40,16.15,36.20
Sipani Auto,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sipani Auto,NA,NA,NA
Siporex,,NA,  new,15.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Siporex,NA,NA,NA
Sir Shadi Lal,,-62.89, 71.74 new,0.00%,-%,34.56,10.00,7.85,55.18,1,2.78,3.04,-,143.00,45.00,105.10,Sir Shadi Lal,NA,NA,NA
Siraga Aqua,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Siraga Aqua,NA,NA,NA
Sirohia & Sons,,25.51,  new,0.00%,-%,* -,10.00,17.49,9.04,10000,-,-,0.35,13.05,8.82,8.82,Sirohia & Sons,NA,NA,NA
Skyline Millars,,6.75,  new,0.00%,-%,-,1.00,31.07,14.60,1,-,-,0.54,5.42,2.66,3.63,Skyline Millars,NA,NA,NA
Smilax Ind,,7.39,  new,0.00%,-%,-,10.00,9.25,0.00,1,-,-,-,NA,NA,NA,Smilax Ind,NA,NA,NA
Sobhagya Mercan,,7.16,  new,0.00%,-%,-,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Sobhagya Mercan,NA,NA,NA
Sofcom Systems,,9.43,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Sofcom Systems,NA,NA,NA
Softbpo Global,,-217.61,  new,0.00%,-%,-,10.00,18.51,0.00,50,-,-,-,NA,NA,NA,Softbpo Global,NA,NA,NA
Softrak Techno,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Softrak Techno,NA,NA,NA
Software Tech,,4.60,  new,0.00%,-%,-,10.00,49.52,0.00,1,-,-,-,NA,NA,NA,Software Tech,NA,NA,NA
Solar Busiforms,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Solar Busiforms,NA,NA,NA
Solarson Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Solarson Ind,NA,NA,NA
Solid Carbide,,-0.36,  new,0.00%,-%,-,1.00,27.65,2.71,1,-,-,-,1.46,0.42,1.00,Solid Carbide,NA,NA,NA
Soma Papers,,12.86,  new,0.00%,-%,-,10.00,11.71,0.00,1,-,-,-,NA,NA,NA,Soma Papers,NA,NA,NA
Somani Strips,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Somani Strips,NA,NA,NA
Someshwara Ceme,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Someshwara Ceme,NA,NA,NA
Sonal Mercant,,15.07, 100 new,0.00%,-%,0.05,10.00,39.26,11.98,1,116.14,162.60,0.54,9.77,7.99,8.13,Sonal Mercant,NA,NA,NA
South (I) Paper,,93.13, 100 new,30.00%,2.84%,8.41,10.00,11.71,158.25,1,7.15,12.54,1.13,165.60,90.25,105.50,South (I) Paper,NA,NA,NA
Southern BioTec,,-12.18, 100 new,0.00%,-%,-,10.00,30.96,22.59,1,-,-,-,11.75,3.76,3.83,Southern BioTec,NA,NA,NA
Southern Gas,,6440.74,  new,35.00%,-%,265.46,100.00,36.37,0.00,5,-,-,-,NA,NA,NA,Southern Gas,NA,NA,NA
Sov Gold Tr-I,,NA, 100 new,NA,-%,-,NA,-,0.00,NA,-,-,-,3400.00,2589.00,2715.00,Sov Gold Tr-I,3549.00,2685.00,2765.00
Sov Gold Tr-V,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,3250.00,2625.25,2740.00,Sov Gold Tr-V,NA,NA,NA
Sowbhagya Media,,10.14, 100 new,0.00%,-%,0.18,10.00,43.78,3.95,1,10.62,20.06,0.36,8.80,2.80,3.61,Sowbhagya Media,NA,NA,NA
Spaceage Prod,,10.06,  new,0.00%,-%,0.06,10.00,51.24,3.12,1,166.67,166.67,0.99,10.00,10.00,10.00,Spaceage Prod,NA,NA,NA
Sparsh BPO Svcs,,-9.11,  new,0.00%,-%,-,10.00,11.76,0.00,1,-,-,-,NA,NA,NA,Sparsh BPO Svcs,NA,NA,NA
Spartek Ceramic,,11.20,  new,0.00%,-%,* -,10.00,33.46,0.00,1,-,-,-,NA,NA,NA,Spartek Ceramic,NA,NA,NA
Speciality Rest,,60.73, 37.41 new,0.00%,-%,-,10.00,59.12,556.45,1,55.90,-,1.95,124.65,59.50,118.50,Speciality Rest,125.00,59.50,118.85
Specular Market,,21.94,  new,0.00%,-%,-,10.00,27.21,0.00,50,-,-,-,NA,NA,NA,Specular Market,NA,NA,NA
