,Company Name,MC Link
196,Williamson Mago,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/williamsonmagorcompany/WMC
197,Alok Industries,http://www.moneycontrol.com/india/stockpricequote/textilesweaving/alokindustries/AI54
198,Acquaint Export,http://www.moneycontrol.com/india/stockpricequote/aquaculture/acquaintexports/AE
199,Bharat Texts,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/bharattextilesandproofing/BTA
200,Tarini Int,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/tariniinternational/TI12
201,Scan Projects,http://www.moneycontrol.com/india/stockpricequote/cementmini/scanprojects/AC15
202,Appu Marketing,http://www.moneycontrol.com/india/stockpricequote/trading/appumarketingmanufacturing/AMM
203,UCO Bank,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/ucobank/UCO
204,Asian Ind Ent,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/asianindustriesenterprises/AIE
205,Mayar Finance,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/mayarfinance/MF06
206,BK Duplex Board,http://www.moneycontrol.com/india/stockpricequote/paper/bkduplexboard/BKD
207,Roadmaster Food,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/roadmasterfoods/RF11
208,Essel Software,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/esselsoftwareservices/ESS
209,XLO-Machine,http://www.moneycontrol.com/india/stockpricequote/machinetools/xlomachinetools/XLO01
210,IDBI Gold ETF,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/idbigoldexchangetradedfund/IDB06
211,HBC Flextech,http://www.moneycontrol.com/india/stockpricequote/electricals/hbcflextech/HBC
212,John Fowler,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/johnfowlerindia/JFI
213,Elder Healthcar,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/elderhealthcare/EH02
214,Ranbaxy Labs,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ranbaxylaboratories/RL
215,Kanak Steel,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kanakdharasteel/KS16
216,DB (Int) Stock,http://www.moneycontrol.com/india/stockpricequote/financegeneral/dbinternationalstockbrokers/DBI
217,Benzo Petro Int,http://www.moneycontrol.com/india/stockpricequote/chemicals/benzopetrointernational/BPI01
218,Mayur Uniquoter,http://www.moneycontrol.com/india/stockpricequote/plastics/mayuruniquoters/MU
219,MW Unitexx,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/mwunitexx/UD
